cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
11,Guanajuato,0,Estatal,1001000001,Superficie continental,2020,30606.67407,Kilómetros cuadrados
11,Guanajuato,0,Estatal,1002000001,Población total,1910,1081651,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1921,860364,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1930,987801,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1940,1046490,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1950,1328712,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1960,1735490,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1970,2270370,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1980,3006110,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1990,3982593,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,1995,4406568,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,2000,4663032,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,2005,4893812,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,2010,5486372,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,2015,5864777,Número de personas
11,Guanajuato,0,Estatal,1002000001,Población total,2020,6166934,Número de personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,1995,2139104,Número de personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2000,2233315,Número de personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2005,2329136,Número de personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2010,2639425,Número de personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2020,2996454,Número de personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,1995,2267464,Número de personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2000,2429717,Número de personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2005,2564676,Número de personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2010,2846947,Número de personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2020,3170480,Número de personas
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,29.6,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.4,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,27,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,27.3,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,26.82601039,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,25.90701532,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,28.7,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,27.2,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,26,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,13.02815307,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,26.32217648,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,30.5,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,29.4,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,28,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,27.6,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.79785731,No especificada
11,Guanajuato,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,25.51468081,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,6.6,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,7.2,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,8.1,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2010,8.7,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2015,9.540601574,No especificada
11,Guanajuato,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2020,11.07045867,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,1995,6.4,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2000,7,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2005,7.9,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2010,8.4,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2015,4.41635232,No especificada
11,Guanajuato,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2020,10.55340203,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,1995,6.8,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2000,7.3,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2005,8.3,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2010,8.9,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2015,5.124249254,No especificada
11,Guanajuato,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2020,11.55908618,No especificada
11,Guanajuato,0,Estatal,1002000010,Edad mediana,1995,20,Años
11,Guanajuato,0,Estatal,1002000010,Edad mediana,2000,21,Años
